Popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,time_signature,Class
52.2,0.854,0.564,1.0,-8.630403119526399,1,0.03404,0.0171,0.00965882,0.0849,0.899,134.071,234.596,4,5
54.0,0.382,0.814,3.0,-7.23,1,0.0406,0.0011,0.00401,0.101,0.569,116.454,251.733,4,10
35.0,0.434,0.614,6.0,-8.334,1,0.0525,0.486,0.000196,0.394,0.787,147.681,109.667,4,6
39.4,0.853,0.597,10.0,-8.324082429008797,0,0.07602,0.0212,0.011756560000000001,0.122,0.569,107.033,173.96800000000002,4,5
53.0,0.167,0.975,2.0,-4.279,1,0.216,0.000169,0.0161,0.172,0.0918,199.06,229.96,4,10
53.0,0.235,0.977,6.0,0.878,1,0.107,0.00353,0.00604,0.172,0.241,152.952,208.133,4,6
48.0,0.674,0.658,5.0,-9.647,0,0.104,0.404,1.34e-6,0.0981,0.677,143.292,329.387,4,2
55.0,0.657,0.415,5.0,-9.915,1,0.025,0.175,5.65e-6,0.132,0.347,96.03,186.34699998000002,4,Other
29.0,0.431,0.776,10.0,-5.403,1,0.0527,2.21e-5,0.0013,0.179,0.318,120.857,237.86700000000002,4,8
49.4,0.716,0.885,1.0,-5.610933588099993,0,0.044719999999999996,0.0614,0.045885419999999996,0.253,0.833,128.043,164.093,4,9
11.0,0.491,0.563,7.0,-8.588,0,0.0331,0.957,0.0023,0.263,0.843,95.558,259.827,4,Other
43.6,0.387,0.922,9.0,-5.154672013148797,0,0.05286,0.00487,0.186752652,0.187,0.417,146.478,222.947,4,10
30.6,0.585,0.381,1.0,-10.786504458589599,0,0.046799999999999994,0.435,0.160163734,0.126,0.322,143.876,206.875,4,9
39.6,0.462,0.374,11.0,-10.891432013814399,0,0.0411,0.949,0.1546458,0.131,0.174,122.939,266.415,3,Other
76.0,0.653,0.519,2.0,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153.693,4,10
37.0,0.431,0.852,2.0,-6.522,1,0.0431,0.564,0.208,0.254,0.794,67.601,146.8,4,2
14.0,0.713,0.939,5.0,-3.609,0,0.0372,0.11,5.88e-6,0.331,0.88,108.034,179.32,4,9
31.0,0.564,0.801,1.0,-4.73,0,0.0473,0.00233,0.0078,0.067,0.401,105.01,154.293,4,10
29.0,0.57,0.458,9.0,-5.935,0,0.0236,0.502,2.35e-6,0.134,0.19,93.088,217.529,4,9
41.8,0.852,0.73,1.0,-7.161506285199994,1,0.03434,0.0219,0.14776458599999998,0.336,0.394,92.506,157.693,4,5
48.0,0.347,0.411,6.0,-8.071,1,0.0414,0.0181,0.636,0.0975,0.395,171.991,283.01300000000003,4,6
43.0,0.796,0.441,7.0,-9.966768357757601,1,0.09422,0.16,2.89e-5,0.118,0.371,158.105,137.872,4,1
29.0,0.805,0.448,7.0,-9.452,1,0.112,0.0602,1.79e-6,0.113,0.775,160.018,138.0,4,5
44.0,0.472,0.947,9.0,-6.128,1,0.0774,9.43e-6,0.0155,0.364,0.75,98.784,309.867,4,10
36.6,0.556,0.188,8.0,-14.6069936559232,1,0.03748,0.494,0.01336974,0.119,0.184,138.091,145.217,4,9
38.2,0.548,0.711,10.0,-7.328108533693602,1,0.107,0.542,9.59e-5,0.355,0.618,119.675,240.93799998000003,3,Other
73.0,0.867,0.517,11.0,-13.222,0,0.0875,0.00456,0.000339,0.0864,0.866,133.148,257.36,4,9
35.0,0.341,0.47,5.0,-10.144,1,0.037,0.226,0.105,0.518,0.203,144.109,204.28,4,1
66.0,0.733,0.726,7.0,-6.514,1,0.0371,0.379,2.58e-6,0.471,0.915,120.814,197.16,4,8
30.0,0.696,0.661,6.0,-5.996,1,0.0877,0.00103,3.21e-5,0.114,0.397,121.032,180.822,4,6
53.0,0.517,0.848,10.0,-6.0263071524352,1,0.05366,0.00581,0.074679074,0.214,0.429,95.906,188.779,4,9
42.4,0.437,0.948,5.0,-4.805693847155194,0,0.13348,0.000234,0.14688702,0.0876,0.517,170.023,180.293,4,6
49.0,0.384,0.974,1.0,-3.647,0,0.141,0.000153,0.000247,0.226,0.155,194.842,247.37,4,8
31.0,0.858,0.525,1.0,-9.015282962499997,1,0.056459999999999996,0.0443,0.0671976,0.1242,0.351,170.875,257.472,4,5
40.8,0.297,0.0958,2.0,-17.285718145824465,1,0.04084,0.844,0.361929,0.11294,0.296,80.672,74.89079921333341,4,Other
29.0,0.516,0.948,2.0,-3.994,1,0.0644,0.0279,0.0564,0.15,0.957,170.087,130.329,4,1
25.6,0.32,0.242,2.0,-13.320522948572801,1,0.0401,0.941,0.25245826000000005,0.15758,0.431,81.09,97.58064338,4,Other
34.4,0.661,0.407,4.0,-10.414466672240799,1,0.06739999999999999,0.713,0.04370217,0.115,0.337,127.873,216.695,4,9
59.6,0.569,0.751,7.0,-6.9740846874856,1,0.04104,0.365,0.09677423999999998,0.0561,0.758,105.156,338.29200000000003,4,2
47.0,0.357,0.977,1.0,-4.385337064304796,0,0.08306,1.6e-5,0.297025182,0.105,0.28,159.81,233.929,4,8
63.0,0.615,0.657,7.0,-6.873,1,0.029,0.000372,0.0204,0.132,0.792,109.95,185.09300000000002,4,10
47.8,0.479,0.444,2.0,-9.929210895270398,1,0.052180000000000004,0.857,0.101981214,0.15710000000000002,0.236,107.915,232.8728313866666,4,9
65.0,0.633,0.831,4.0,-5.053,1,0.0461,0.0401,0.693,0.117,0.243,127.397,354.36,4,10
51.0,0.618,0.438,11.0,-10.004627990723199,1,0.040619999999999996,0.407,0.11310712200000002,0.5,0.651,155.014,209.30700000000002,4,6
55.0,0.881,0.546,7.0,-9.357,1,0.0407,0.0532,0.000149,0.0497,0.852,102.814,320.413,4,6
49.0,0.624,0.528,9.0,-9.103,0,0.0344,0.0286,0.00516,0.0866,0.33,120.049,285.933,4,10
46.2,0.607,0.503,2.0,-9.246326205911199,1,0.04104,0.446,0.28851171999999997,0.173,0.473,135.606,205.04,4,9
40.0,0.799,0.789,1.0,-6.622015740906395,1,0.037540000000000004,0.0595,0.052747379999999996,0.20380000000000004,0.831,116.083,245.34300000000002,4,10
45.2,0.494,0.0634,2.0,-18.388632560599305,1,0.045099999999999994,0.984,0.26032,0.11,0.15,78.227,180.89500002,4,Other
49.0,0.52,0.642,9.0,-7.546,1,0.0434,0.000517,0.0017,0.0794,0.449,88.967,180.96800000000002,4,10
68.4,0.595,0.759,11.0,-6.901514254602397,0,0.059399999999999994,0.141,0.00027808,0.172,0.515,80.953,163.733,4,9
38.4,0.523,0.441,5.0,-9.966768357757601,1,0.0311,0.465,0.00268,0.365,0.49,171.246,203.10700002000002,4,Other
40.4,0.566,0.943,2.0,-4.874768134679201,1,0.06072000000000001,0.00488,0.033585592000000004,0.194,0.324,117.813,250.67620000000002,4,10
47.0,0.612,0.86,8.0,-9.175,1,0.044,0.00253,0.00153,0.158,0.687,136.212,196.467,4,1
39.2,0.63,0.446,1.0,-9.9043385542816,1,0.0588,0.337,0.019940268,0.166,0.177,143.078,202.193,4,5
53.0,0.521,0.532,9.0,-11.492,0,0.0357,0.563,0.000435,0.386,0.326,95.19,180.53300000000002,4,9
39.4,0.501,0.474,2.0,-9.569406901494396,1,0.03206,0.608,0.09517656,0.147,0.281,102.404,352.267,4,10
47.8,0.185,0.865,9.0,-5.8400757168999995,1,0.06514,0.000632,0.2629064,0.112,0.0789,84.031,207.465,3,6
34.0,0.532,0.685,4.0,-6.577,0,0.0318,0.0208,0.000154,0.303,0.648,140.036,288.071,4,2
46.2,0.415,0.94,2.0,-4.915753710400008,1,0.03884,0.0049,0.019299838,0.2492,0.439,134.392,204.6234349333334,4,1
49.0,0.425,0.403,4.0,-9.343,0,0.0273,0.0792,0.0049,0.113,0.135,155.761,323.931,4,10
20.0,0.373,0.707,1.0,-9.566,0,0.0562,0.668,3.68e-5,0.361,0.75,89.1,214.73299998,4,Other
32.0,0.39,0.646,6.0,-7.890381632041598,1,0.06684000000000001,0.0904,0.0036835200000000005,0.114,0.271,120.755,213.677,4,10
38.0,0.439,0.795,2.0,-9.424,1,0.0314,0.00407,0.00114,0.296,0.789,84.846,212.067,4,6
34.6,0.827,0.532,2.0,-8.944031280140798,1,0.06799999999999999,0.0219,2.91e-5,0.127,0.694,87.257,290.44,4,5
26.0,0.709,0.685,2.0,-7.573,1,0.0281,0.0355,0.0268,0.0389,0.7,129.987,194.567,4,1
31.8,0.583,0.143,2.0,-15.8334096361192,1,0.03594000000000001,0.676,0.016691346,0.11698,0.533,156.009,168.54006249000003,3,2
32.2,0.704,0.579,6.0,-8.489315148138399,1,0.04482,0.287,0.029097659999999997,0.139,0.712,142.815,176.667,4,5
30.0,0.247,0.88,2.0,-3.057,1,0.097,2.01e-5,0.309,0.122,0.333,134.445,237.493,4,10
57.6,0.801,0.637,7.0,-7.968772816016797,1,0.07146,0.169,0.06559776,0.10862000000000001,0.769,77.012,193.9058139566666,4,2
24.0,0.539,0.578,4.0,-8.522,1,0.0278,0.0987,0.000923,0.28,0.353,102.03,191.89000000000001,4,10
46.6,0.907,0.695,11.0,-7.466963803299999,0,0.04034,0.246,0.011345418,0.0808,0.961,101.007,298.307,4,5
41.4,0.667,0.636,8.0,-7.977508886233601,1,0.03432,0.022,0.16895633599999998,0.0908,0.152,158.058,151.891,4,10
40.0,0.436,0.944,10.0,-4.861030157670399,1,0.05067999999999999,0.0035,0.172437784,0.105,0.588,110.002,307.545,4,6
44.8,0.366,0.662,4.0,-7.751809403996797,1,0.05434,0.00261,0.283912,0.0594,0.362,148.34,284.0,3,10
34.8,0.777,0.71,1.0,-7.336818451600001,1,0.0406,0.0295,0.24634019999999998,0.08008000000000001,0.673,129.945,241.4348,4,9
57.0,0.54,0.847,11.0,-6.52,1,0.0297,0.303,0.272,0.109,0.62,148.936,220.609,4,10
46.8,0.435,0.889,11.0,-5.563708122186398,0,0.06150000000000001,2.38e-5,0.151337734,0.1722,0.344,93.896,198.345,4,8
42.2,0.288,0.758,6.0,-6.910625580227197,0,0.03382,0.00616,0.017828242,0.303,0.619,97.094,201.726,4,10
71.0,0.562,0.383,6.0,-15.474,1,0.0304,0.143,0.124,0.138,0.599,93.764,206.76,3,10
32.6,0.683,0.347,1.0,-11.3163946962088,1,0.04496,0.549,0.036619892,0.0907,0.437,80.009,157.63,4,9
44.0,0.411,0.91,2.0,-4.867,1,0.0392,0.000243,0.00082,0.0931,0.613,106.675,230.02700000000002,4,10
41.0,0.49,0.974,8.0,-4.295,1,0.115,0.000546,0.225,0.336,0.257,108.946,229.61700000000002,4,8
30.0,0.374,0.35,10.0,-11.267535850000002,1,0.04324,0.843,0.12263784000000003,0.188,0.129,74.464,228.6940002,1,Other
43.0,0.633,0.194,8.0,-14.543,1,0.0729,0.885,0.404,0.111,0.421,143.376,348.383,4,2
63.0,0.523,0.76,5.0,-12.437,1,0.0325,0.103,0.00068,0.0666,0.581,94.267,228.267,4,10
35.0,0.593,0.438,10.0,-13.451,0,0.028,0.883,0.0167,0.317,0.758,130.225,136.56,3,2
81.0,0.809,0.463,11.0,-11.377,1,0.0396,0.256,0.085,0.109,0.364,111.98,298.94100000000003,4,9
45.0,0.748,0.411,8.0,-6.06,0,0.0489,0.0532,0.0117,0.115,0.339,91.941,145.052,4,5
13.0,0.529,0.595,2.0,-13.696,1,0.0375,0.0227,0.0266,0.0326,0.767,134.642,187.827,4,2
29.6,0.167,0.148,2.0,-15.6897638733952,1,0.05602,0.955,0.12366324000000002,0.2546,0.04,76.412,171.1253789266668,3,Other
58.2,0.543,0.927,2.0,-5.089483920944794,1,0.07256,0.000342,0.29348117599999995,0.1516,0.354,120.097,249.30700000000002,4,10
