loudness;energy;acousticness
-7,23;0,814;0,0011
-8,334;0,614;0,486
-4,279;0,975;0,000169
0,878;0,977;0,00353
-9,647;0,658;0,404
-9,915;0,415;0,175
-5,403;0,776;2,21e-5
-8,588;0,563;0,957
-10,164;0,519;0,406
-6,522;0,852;0,564
-3,609;0,939;0,11
-4,73;0,801;0,00233
-5,935;0,458;0,502
-8,071;0,411;0,0181
-9,452;0,448;0,0602
-6,128;0,947;9,43e-6
-13,222;0,517;0,00456
-10,144;0,47;0,226
-6,514;0,726;0,379
-5,996;0,661;0,00103
-3,647;0,974;0,000153
-3,994;0,948;0,0279
-6,873;0,657;0,000372
-5,053;0,831;0,0401
-9,357;0,546;0,0532
-9,103;0,528;0,0286
-7,546;0,642;0,000517
-9,175;0,86;0,00253
-11,492;0,532;0,563
-6,577;0,685;0,0208
-9,343;0,403;0,0792
-9,566;0,707;0,668
-9,424;0,795;0,00407
-7,573;0,685;0,0355
-3,057;0,88;2,01e-5
-8,522;0,578;0,0987
-6,52;0,847;0,303
-15,474;0,383;0,143
-4,867;0,91;0,000243
-4,295;0,974;0,000546
-14,543;0,194;0,885
-12,437;0,76;0,103
-13,451;0,438;0,883
-11,377;0,463;0,256
-6,06;0,411;0,0532
-13,696;0,595;0,0227
-5,147;0,891;0,00111
-11,753;0,432;0,175
-13,581;0,504;0,625
-3,281;0,916;1,39e-5
-8,512;0,668;0,423
-11,819;0,526;0,784
-6,174;0,919;0,00694
-6,252;0,932;0,00363
-5,223;0,753;0,00512
-5,628;0,928;0,000409
-4,555;0,967;0,00159
-4,011;0,661;0,0675
-11,501;0,619;8,44e-5
-8,261;0,854;4,62e-5
-9,898;0,551;0,181
-11,636;0,754;0,678
-12,8;0,215;0,759
-3,923;0,859;0,18
-11,931;0,676;0,000895
-10,159;0,387;0,406
-6,533;0,715;0,00212
-10,908;0,245;0,665
-5,192;0,951;4,63e-5
-11,756;0,776;0,0518
-11,889;0,375;0,742
-6,711;0,835;0,273
-5,464;0,797;0,0289
-6,935;0,858;0,000843
-11,64;0,26;0,904
-5,27;0,905;0,00876
-6,064;0,747;0,116
-4,974;0,975;7,47e-5
-11,8;0,375;0,701
-14,7;0,347;0,771
-5,153;0,935;0,000442
-8,034;0,336;0,841
-4,902;0,876;3,33e-5
-4,732;0,781;0,0833
-9,715;0,535;0,000329
-4,484;0,92;0,183
-13,617;0,636;0,0257
-4,701;0,932;0,12
-6,602;0,958;5,33e-6
-6,557;0,709;0,00678
-2,694;0,969;0,172
-6,208;0,707;0,68
-4,04;0,939;0,000833
-10,469;0,728;0,378
-11,503;0,495;0,000119
-8,369;0,843;0,000127
-7,949;0,64;0,743
-7,925;0,964;0,000152
-9,069;0,831;0,00028
-3,818;0,631;0,0904
-8,285;0,761;0,295
-6,785;0,535;0,0131
-14,35;0,41;0,00106
-4,261;0,964;0,00316
-6,741;0,914;0,0106
-5,231;0,881;0,00303
-8,13;0,494;0,864
-6,787;0,63;0,278
-4,448;0,844;0,00012
-5,385;0,927;0,000111
-7,246;0,755;0,0966
-7,765;0,958;0,0361
-6,246;0,925;2,22e-5
-6,679;0,772;0,298
-3,938;0,826;0,000617
-5,089;0,732;0,00853
-5,841;0,769;0,104
-6,469;0,962;0,282
-11,393;0,544;0,576
-7,497;0,614;0,104
-3,69;0,983;9,09e-5
-5,259;0,915;0,0139
-9,267;0,616;0,0521
-5,703;0,604;0,000218
-7,604;0,648;0,012
-8,488;0,547;0,35
-3,956;0,811;0,000125
-8,667;0,565;0,65
-8,276;0,51;0,348
-14,271;0,304;0,751
-5,857;0,717;6,48e-5
-4,172;0,877;0,0849
-3,854;0,907;0,0765
-2,437;0,913;0,0418
-2,236;0,994;2,05e-5
-11,428;0,449;0,00782
-5,835;0,48;0,612
-6,388;0,956;2,59e-5
-5,272;0,776;0,00705
-7,709;0,649;0,816
-6,975;0,563;0,706
-7,514;0,466;0,161
-9,765;0,563;0,422
-10,581;0,861;0,292
-3,496;0,948;2,78e-5
-14,377;0,34;0,657
-4,097;0,954;2,0e-5
-6,899;0,916;0,00439
-4,172;0,977;4,26e-6
-14,01;0,325;0,161
-14,222;0,118;0,993
-7,951;0,727;0,263
-8,279;0,351;0,701
-4,671;0,947;0,000652
-9,303;0,537;0,241
-3,959;0,807;0,0136
-9,726;0,486;0,822
