Popularity,energy,loudness,acousticness,tempo,duration_seconds,key1.0,time_signature3
52.2,0.564,12.18585911937475,0.0171,134.071,234.596,1,0
54.0,0.814,13.58626223890115,0.0011,116.454,251.733,0,0
35.0,0.614,12.48226223890115,0.486,147.681,109.667,0,0
39.4,0.597,12.492179809892352,0.0212,107.033,173.96800000000002,0,0
53.0,0.975,16.53726223890115,0.000169,199.06,229.96,0,0
53.0,0.977,21.69426223890115,0.00353,152.952,208.133,0,0
48.0,0.658,11.16926223890115,0.404,143.292,329.387,0,0
55.0,0.415,10.90126223890115,0.175,96.03,186.34699998000002,0,0
29.0,0.776,15.41326223890115,2.21e-5,120.857,237.86700000000002,0,0
49.4,0.885,15.205328650801157,0.0614,128.043,164.093,1,0
11.0,0.563,12.22826223890115,0.957,95.558,259.827,0,0
43.6,0.922,15.661590225752352,0.00487,146.478,222.947,0,0
30.6,0.381,10.02975778031155,0.435,143.876,206.875,1,0
39.6,0.374,9.924830225086751,0.949,122.939,266.415,0,1
76.0,0.519,10.65226223890115,0.406,98.883,153.693,0,0
37.0,0.852,14.29426223890115,0.564,67.601,146.8,0,0
14.0,0.939,17.20726223890115,0.11,108.034,179.32,0,0
31.0,0.801,16.08626223890115,0.00233,105.01,154.293,1,0
29.0,0.458,14.88126223890115,0.502,93.088,217.529,0,0
41.8,0.73,13.654755953701155,0.0219,92.506,157.693,1,0
48.0,0.411,12.74526223890115,0.0181,171.991,283.01300000000003,0,0
43.0,0.441,10.849493881143548,0.16,158.105,137.872,0,0
29.0,0.448,11.36426223890115,0.0602,160.018,138.0,0,0
44.0,0.947,14.68826223890115,9.43e-6,98.784,309.867,0,0
36.6,0.188,6.20926858297795,0.494,138.091,145.217,0,0
38.2,0.711,13.488153705207548,0.542,119.675,240.93799998000003,0,1
73.0,0.517,7.59426223890115,0.00456,133.148,257.36,0,0
35.0,0.47,10.67226223890115,0.226,144.109,204.28,0,0
66.0,0.726,14.30226223890115,0.379,120.814,197.16,0,0
30.0,0.661,14.82026223890115,0.00103,121.032,180.822,0,0
53.0,0.848,14.78995508646595,0.00581,95.906,188.779,0,0
42.4,0.948,16.010568391745956,0.000234,170.023,180.293,0,0
49.0,0.974,17.16926223890115,0.000153,194.842,247.37,1,0
31.0,0.525,11.800979276401153,0.0443,170.875,257.472,1,0
40.8,0.0958,3.530544093076685,0.844,80.672,74.89079921333341,0,0
29.0,0.948,16.82226223890115,0.0279,170.087,130.329,0,0
25.6,0.242,7.495739290328348,0.941,81.09,97.58064338,0,0
34.4,0.407,10.40179556666035,0.713,127.873,216.695,0,0
59.6,0.751,13.84217755141555,0.365,105.156,338.29200000000003,0,0
47.0,0.977,16.430925174596354,1.6e-5,159.81,233.929,1,0
63.0,0.657,13.943262238901148,0.000372,109.95,185.09300000000002,0,0
47.8,0.444,10.887051343630752,0.857,107.915,232.8728313866666,0,0
65.0,0.831,15.763262238901149,0.0401,127.397,354.36,0,0
51.0,0.438,10.81163424817795,0.407,155.014,209.30700000000002,0,0
55.0,0.546,11.45926223890115,0.0532,102.814,320.413,0,0
49.0,0.528,11.71326223890115,0.0286,120.049,285.933,0,0
46.2,0.503,11.56993603298995,0.446,135.606,205.04,0,0
40.0,0.789,14.194246497994754,0.0595,116.083,245.34300000000002,1,0
45.2,0.0634,2.4276296783018445,0.984,78.227,180.89500002,0,0
49.0,0.642,13.27026223890115,0.000517,88.967,180.96800000000002,0,0
68.4,0.759,13.914747984298753,0.141,80.953,163.733,0,0
38.4,0.441,10.849493881143548,0.465,171.246,203.10700002000002,0,0
40.4,0.943,15.941494104221949,0.00488,117.813,250.67620000000002,0,0
47.0,0.86,11.641262238901149,0.00253,136.212,196.467,0,0
39.2,0.446,10.91192368461955,0.337,143.078,202.193,1,0
53.0,0.532,9.324262238901149,0.563,95.19,180.53300000000002,0,0
39.4,0.474,11.246855337406753,0.608,102.404,352.267,0,0
47.8,0.865,14.97618652200115,0.000632,84.031,207.465,0,1
34.0,0.685,14.23926223890115,0.0208,140.036,288.071,0,0
46.2,0.94,15.900508528501142,0.0049,134.392,204.6234349333334,0,0
49.0,0.403,11.47326223890115,0.0792,155.761,323.931,0,0
20.0,0.707,11.250262238901149,0.668,89.1,214.73299998,1,0
32.0,0.646,12.92588060685955,0.0904,120.755,213.677,0,0
38.0,0.795,11.39226223890115,0.00407,84.846,212.067,0,0
34.6,0.532,11.872230958760351,0.0219,87.257,290.44,0,0
26.0,0.685,13.24326223890115,0.0355,129.987,194.567,0,0
31.8,0.143,4.98285260278195,0.676,156.009,168.54006249000003,0,1
32.2,0.579,12.32694709076275,0.287,142.815,176.667,0,0
30.0,0.88,17.75926223890115,2.01e-5,134.445,237.493,0,0
57.6,0.637,12.847489422884353,0.169,77.012,193.9058139566666,0,0
24.0,0.578,12.29426223890115,0.0987,102.03,191.89000000000001,0,0
46.6,0.695,13.34929843560115,0.246,101.007,298.307,0,0
41.4,0.636,12.838753352667549,0.022,158.058,151.891,0,0
40.0,0.944,15.95523208123075,0.0035,110.002,307.545,0,0
44.8,0.662,13.064452834904353,0.00261,148.34,284.0,0,1
34.8,0.71,13.479443787301149,0.0295,129.945,241.4348,1,0
57.0,0.847,14.29626223890115,0.303,148.936,220.609,0,0
46.8,0.889,15.252554116714752,2.38e-5,93.896,198.345,0,0
42.2,0.758,13.905636658673952,0.00616,97.094,201.726,0,0
71.0,0.383,5.342262238901149,0.143,93.764,206.76,0,1
32.6,0.347,9.49986754269235,0.549,80.009,157.63,1,0
44.0,0.91,15.949262238901149,0.000243,106.675,230.02700000000002,0,0
41.0,0.974,16.52126223890115,0.000546,108.946,229.61700000000002,0,0
30.0,0.35,9.548726388901148,0.843,74.464,228.6940002,0,0
43.0,0.194,6.27326223890115,0.885,143.376,348.383,0,0
63.0,0.76,8.37926223890115,0.103,94.267,228.267,0,0
35.0,0.438,7.365262238901149,0.883,130.225,136.56,0,1
81.0,0.463,9.439262238901149,0.256,111.98,298.94100000000003,0,0
45.0,0.411,14.75626223890115,0.0532,91.941,145.052,0,0
13.0,0.595,7.12026223890115,0.0227,134.642,187.827,0,0
29.6,0.148,5.126498365505949,0.955,76.412,171.1253789266668,0,1
58.2,0.927,15.726778317956356,0.000342,120.097,249.30700000000002,0,0
41.0,0.891,15.66926223890115,0.00111,110.007,239.488,0,0
62.0,0.432,9.06326223890115,0.175,142.642,271.333,0,0
41.2,0.387,10.118050067684349,0.0753,84.112,186.812,0,0
38.4,0.214,6.852673265854749,0.944,127.581,215.16,0,1
60.0,0.516,11.707809925083552,0.0288,156.97,158.0,0,0
47.6,0.943,15.941494104221949,0.000547,147.217,209.68200000000002,0,0
43.4,0.931,15.779573563671555,0.00085,133.986,245.747,0,0
53.6,0.482,11.33825719292035,0.299,73.628,147.013,0,0
24.0,0.504,7.23526223890115,0.625,159.911,258.771,0,0
25.0,0.916,17.53526223890115,1.39e-5,151.886,270.205,1,0
63.0,0.668,12.30426223890115,0.423,128.096,240.0,0,0
22.0,0.526,8.997262238901149,0.784,141.631,238.0,0,0
42.6,0.621,12.70694688507955,0.13,97.189,148.9069998,0,0
55.0,0.919,14.64226223890115,0.00694,118.341,256.4,0,0
28.0,0.932,14.56426223890115,0.00363,102.954,235.214,0,0
55.0,0.753,15.59326223890115,0.00512,152.064,212.547,0,0
44.0,0.928,15.18826223890115,0.000409,123.014,171.12,0,0
34.6,0.788,14.18471711545795,0.0089,159.986,196.173,0,0
11.0,0.967,16.26126223890115,0.00159,146.623,269.44,1,0
50.0,0.919,15.622900359850753,0.00269,104.364,313.573,0,0
58.0,0.294,8.56340390035075,0.771,137.941,164.72490755666658,0,1
32.4,0.329,9.197695337962752,0.239,128.099,212.74999997999998,0,0
43.0,0.912,15.533832720104353,9.75e-5,139.381,247.22220000000002,0,0
42.0,0.661,16.80526223890115,0.0675,144.909,287.467,0,1
35.4,0.527,11.82144261683635,0.0931,122.271,259.627,0,0
16.0,0.619,9.31526223890115,8.44e-5,162.721,168.43999979999998,0,0
47.0,0.854,12.55526223890115,4.62e-5,152.142,309.827,0,0
48.8,0.609,12.60025235741875,0.743,131.057,110.92817946333341,0,0
34.4,0.425,10.643989976401151,0.428,88.047,220.543,0,0
45.6,0.231,7.249077719031552,0.815,85.153,200.613,0,0
57.0,0.551,10.91826223890115,0.181,115.896,201.213,0,0
42.0,0.754,9.18026223890115,0.678,135.01,363.333,0,1
47.4,0.551,12.060688310775552,0.155,75.027,216.373,0,0
55.4,0.878,15.123828466289954,0.0133,119.945,255.4,0,0
50.0,0.215,8.016262238901149,0.759,90.004,290.466,0,0
57.0,0.859,16.89326223890115,0.18,115.97,270.104,1,0
60.0,0.676,8.88526223890115,0.000895,95.98,245.267,0,0
52.0,0.233,7.294491930653951,0.71,89.574,165.187,0,0
28.0,0.387,10.657262238901149,0.406,97.995,205.53300000000002,0,0
51.4,0.8,14.30016703890115,0.547,92.757,209.833,0,0
56.0,0.715,14.283262238901148,0.00212,86.937,199.773,0,0
41.8,0.656,13.01257958249155,0.11,98.82,253.413,0,0
45.0,0.245,9.90826223890115,0.665,83.554,214.933,0,0
42.0,0.399,10.290206146666751,0.0751,137.305,67.72,1,0
48.0,0.951,15.62426223890115,4.63e-5,165.088,212.927,0,0
10.0,0.776,9.06026223890115,0.0518,177.953,331.30400000000003,0,0
38.0,0.375,8.92726223890115,0.742,151.983,387.547,0,0
57.8,0.768,13.997300913281952,0.0277,124.006,223.907,0,0
32.0,0.835,14.10526223890115,0.273,99.022,225.072,0,0
69.0,0.797,15.35226223890115,0.0289,102.489,291.813,0,0
38.0,0.858,13.88126223890115,0.000843,169.951,301.533,0,0
