Popularity,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_seconds,key1.0,key10.0,key11.0,key2.0,key3.0,key4.0,key5.0,key6.0,key7.0,key8.0,key9.0,mode1,time_signature1,time_signature3,time_signature4,time_signature5,Class
52.2,0.854,0.564,12.18585911937475,0.03404,0.0171,0.00965882,0.0849,0.899,134.071,234.596,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
54.0,0.382,0.814,13.58626223890115,0.0406,0.0011,0.00401,0.101,0.569,116.454,251.733,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,10
35.0,0.434,0.614,12.48226223890115,0.0525,0.486,0.000196,0.394,0.787,147.681,109.667,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6
39.4,0.853,0.597,12.492179809892352,0.07602,0.0212,0.011756560000000001,0.122,0.569,107.033,173.96800000000002,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
53.0,0.167,0.975,16.53726223890115,0.216,0.000169,0.0161,0.172,0.0918,199.06,229.96,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,10
53.0,0.235,0.977,21.69426223890115,0.107,0.00353,0.00604,0.172,0.241,152.952,208.133,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6
48.0,0.674,0.658,11.16926223890115,0.104,0.404,1.34e-6,0.0981,0.677,143.292,329.387,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2
55.0,0.657,0.415,10.90126223890115,0.025,0.175,5.65e-6,0.132,0.347,96.03,186.34699998000002,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,Other
29.0,0.431,0.776,15.41326223890115,0.0527,2.21e-5,0.0013,0.179,0.318,120.857,237.86700000000002,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,8
49.4,0.716,0.885,15.205328650801157,0.044719999999999996,0.0614,0.045885419999999996,0.253,0.833,128.043,164.093,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
11.0,0.491,0.563,12.22826223890115,0.0331,0.957,0.0023,0.263,0.843,95.558,259.827,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,Other
43.6,0.387,0.922,15.661590225752352,0.05286,0.00487,0.186752652,0.187,0.417,146.478,222.947,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,10
30.6,0.585,0.381,10.02975778031155,0.046799999999999994,0.435,0.160163734,0.126,0.322,143.876,206.875,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9
39.6,0.462,0.374,9.924830225086751,0.0411,0.949,0.1546458,0.131,0.174,122.939,266.415,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Other
76.0,0.653,0.519,10.65226223890115,0.0497,0.406,0.0209,0.101,0.822,98.883,153.693,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,10
37.0,0.431,0.852,14.29426223890115,0.0431,0.564,0.208,0.254,0.794,67.601,146.8,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,2
14.0,0.713,0.939,17.20726223890115,0.0372,0.11,5.88e-6,0.331,0.88,108.034,179.32,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,9
31.0,0.564,0.801,16.08626223890115,0.0473,0.00233,0.0078,0.067,0.401,105.01,154.293,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,10
29.0,0.57,0.458,14.88126223890115,0.0236,0.502,2.35e-6,0.134,0.19,93.088,217.529,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,9
41.8,0.852,0.73,13.654755953701155,0.03434,0.0219,0.14776458599999998,0.336,0.394,92.506,157.693,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,5
48.0,0.347,0.411,12.74526223890115,0.0414,0.0181,0.636,0.0975,0.395,171.991,283.01300000000003,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,6
43.0,0.796,0.441,10.849493881143548,0.09422,0.16,2.89e-5,0.118,0.371,158.105,137.872,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,1
29.0,0.805,0.448,11.36426223890115,0.112,0.0602,1.79e-6,0.113,0.775,160.018,138.0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,5
44.0,0.472,0.947,14.68826223890115,0.0774,9.43e-6,0.0155,0.364,0.75,98.784,309.867,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,10
